Ticker,Description,Price,Change %,Change,Volume,Volume*Price,Market Capitalization,Relative Volume at Time,"Change 1m, %","Change 5m, %",Exchange,Pre-market Change,Open,Change from Open
GOOG,Alphabet Inc.,94.17,-1.47520402,-1.41,24101536,2269641645.12,1203915093246,0.55631405,0.07438104,0.16932423,NASDAQ,0.05,95.42,-1.25
AMZN,"Amazon.com, Inc.",93.55,-0.21333333,-0.2,49100567,4593358042.849999,958631182346,0.67128231,-0.01058372,0.03743516,NASDAQ,0.2,94.06,-0.51
TSLA,"Tesla, Inc.",187.71,-3.14741241,-6.1,148125164,27804574534.440002,593933754678,0.66291473,0.05395066,-0.09044455,NASDAQ,-2.6107,191.38,-3.67
NVDA,NVIDIA Corporation,232.88,-1.12931986,-2.66,51515228,11996866296.64,575213612060.9999,0.71390158,0.03007131,0.00429479,NASDAQ,1.7133,236,-3.12
META,"Meta Platforms, Inc.",184.51,-0.21092482,-0.39,36701298,6771756493.98,478390675716.0001,0.95450789,0.03795478,0.08136697,NASDAQ,-1.9,189,-4.49
BABA,Alibaba Group Holding Limited,88.73,-0.9930819,-0.89,14514509,1287872383.5700002,238981601162.05875,0.36194182,0.00563603,0.06767426,NYSE,-1.42,89.52,-0.79
ADBE,Adobe Inc.,344.8,-0.63973258,-2.22,2252817,776771301.6,157849430202.99997,0.36824009,0.04641717,0.02030221,NASDAQ,,347.86,-3.06
NFLX,"Netflix, Inc.",308.47,-1.14091594,-3.56,4553078,1404487970.66,137376119068.00002,0.49479654,0.03242647,-0.093918,NASDAQ,1.19,312.675,-4.205
QCOM,QUALCOMM Incorporated,119.19,-2.63050404,-3.22,8879728,1058374780.32,132896852722.00002,0.81170328,0.05036092,0.37049512,NASDAQ,-0.63,122.48,-3.29
AMD,"Advanced Micro Devices, Inc.",82.11,1.17052735,0.95,70958982,5826442012.02,132311094761.99998,0.92568503,-0.06084946,0.10361431,NASDAQ,0.87,81.07,1.04
COP,ConocoPhillips,107.65,-1.74333698,-1.91,4973233,535368532.4500001,131201290928.00002,0.56893717,-0.0371402,0.01393469,NYSE,0.9972,108.59,-0.94
BA,Boeing Company (The),207.92,-1.88750472,-4,4619710,960530103.2,124385968841,0.58496805,0.01923909,-0.03845599,NYSE,0.74,211.31,-3.39
