,Ticker,Description,Price,Change %,Change,Volume,Volume*Price,Market Capitalization,Relative Volume at Time,"Change 1m, %","Change 5m, %",Exchange,Pre-market Change,Open,Change from Open
2085,XPEV,XPeng Inc.,9.625,-2.87588295,-0.285,2649214,25498684.75,8767000597.097599,0.35186547,-0.15568241,-0.56847545,NYSE,-0.24,9.67,-0.045
2086,RF,Regions Financial Corporation,17.6294,0.56702795,0.0994,2247782,39627047.9908,16475762794.26673,0.35173636,-0.02836075,-0.31108597,NYSE,-0.28,17.23,0.3994
2087,COLD,"Americold Realty Trust, Inc.",27.19,0.55473373,0.15,146376,3979963.44,7303407864.0,0.35071786,0.0,-0.11013216,NYSE,,26.93,0.26
2088,ESAB,ESAB Corporation,55.47,-1.89246551,-1.07,21126,1171859.22,3332446679.7946587,0.34824656,-0.17995321,-0.17995321,NYSE,,56.01,-0.54
2089,NBTB,NBT Bancorp Inc.,34.1,1.45789943,0.49,16381,558592.1,1463008972.5766144,0.34817153,-0.02931692,-0.4379562,NASDAQ,,33.46,0.64
2090,UBSI,"United Bankshares, Inc.",35.89,1.24118477,0.44,97947,3515317.83,4836012217.691397,0.34797385,0.08354219,-0.05561735,NASDAQ,,34.83,1.06
2091,TEAM,Atlassian Corporation,150.26,-1.97664557,-3.03,186773,28064510.98,38670237479.99192,0.34713389,-0.12296444,-0.42080848,NASDAQ,-1.29,152.99,-2.73
2092,CLH,"Clean Harbors, Inc.",131.21,-1.13773357,-1.51,29639,3888933.19,7094774988.611287,0.34652539,-0.12179341,-0.52312358,NYSE,,131.99,-0.78
2093,WNC,Wabash National Corporation,23.34,-1.68491997,-0.4,41222,962121.48,1108954756.1019378,0.34610616,-0.3203075,-0.3203075,NYSE,-0.19,23.36,-0.02
2094,CHRW,"C.H. Robinson Worldwide, Inc.",94.39,-0.50595552,-0.48,134109,12658548.51,10997419748.274902,0.34517435,-0.08997089,-0.33787351,NASDAQ,,94.66,-0.27
2095,IR,Ingersoll Rand Inc.,54.05,-1.63785259,-0.9,235638,12736233.9,21887909698.93539,0.34513417,0.01850139,-0.22148394,NYSE,,54.27,-0.22
2096,LOB,"Live Oak Bancshares, Inc.",24.055,-1.73611111,-0.425,70962,1706990.91,1061932283.5208333,0.34505039,-0.82457225,-1.08963816,NYSE,-0.78,24.05,0.005
2097,OWL,Blue Owl Capital Inc.,10.795,-1.05407883,-0.115,383878,4143963.01,15049211124.007332,0.34425779,-0.09254975,-0.41512915,NYSE,-0.16,10.73,0.065
2098,IAC,IAC Inc.,49.845,-1.12080936,-0.565,57024,2842361.28,4429783384.899327,0.34390993,-0.01003009,-0.01003009,NASDAQ,,49.98,-0.135
2099,RLX,RLX Technology Inc.,2.3183,-6.52016129,-0.1617,1907542,4422254.6186,3268383400.0,0.34376441,0.21645022,-0.21551724,NYSE,-0.04,2.45,-0.1317
2100,ENS,EnerSys,80.03,-1.34368836,-1.09,12506,1000855.18,3269267618.352564,0.34345283,-0.17462891,-0.41065207,NYSE,,80.1,-0.07
2101,ALLY,Ally Financial Inc.,23.605,-1.68679717,-0.405,1345053,31749976.065,7100611416.134526,0.34290631,-0.06351895,-0.52687039,NYSE,-0.22,23.67,-0.065
2102,FLEX,Flex Ltd.,21.07,-1.81733458,-0.39,369764,7790927.48,9504276774.073626,0.34157587,-0.04741584,-0.30740128,NASDAQ,-0.18,21.22,-0.15
2103,ADUS,Addus HomeCare Corporation,100.54,0.832414,0.83,7906,794869.24,1621485544.373283,0.34148652,-0.01988862,0.21929825,NASDAQ,,99.45,1.09
2104,AUB,Atlantic Union Bankshares Corporation,34.54,1.58823529,0.54,85317,2946849.18,2580878120.072353,0.34132213,-0.05787037,-0.1156738,NYSE,,33.49,1.05
2105,VRNT,Verint Systems Inc.,36.25,-0.1102232,-0.04,28284,1025295.0,2387651865.6654725,0.34008856,-0.0275786,-0.22020369,NASDAQ,,36.09,0.16
2106,MTD,"Mettler-Toledo International, Inc.",1439.75,-0.78216525,-11.35,10141,14600504.75,31827366902.349945,0.33965094,0.21438465,0.21438465,NYSE,,1447.26,-7.51
2107,SFBS,"ServisFirst Bancshares, Inc.",54.12,1.32933908,0.71,30279,1638699.48,2944033312.7991014,0.33723591,0.33370412,-0.25801696,NYSE,,52.54,1.58
2108,ASAN,"Asana, Inc.",20.65,-0.67340067,-0.14,364764,7532376.6,4393784953.434344,0.33715464,-0.1450677,-0.38591413,NYSE,-0.29,20.74,-0.09
2109,ARKW,ARK Next Generation Internet ETF,50.05,-0.43763676,-0.22,59137,2959806.85,,0.33648508,0.05997601,-0.33851055,NYSE ARCA,-0.1252,49.75,0.3
2110,CWST,"Casella Waste Systems, Inc.",77.85,0.19305019,0.15,13221,1029254.85,4025133937.720077,0.33627943,0.02569703,-0.256246,NASDAQ,,77.58,0.27
2111,PTRA,Proterra Inc,1.59,-5.91715976,-0.1,649765,1033126.35,359976002.8224852,0.33446206,-0.04402516,-0.13823437,NASDAQ,-0.04,1.62,-0.03
2112,TGI,"Triumph Group, Inc.",10.36,-0.76628352,-0.08,73620,762703.2,673510155.3793103,0.33288701,0.0,-0.52808449,NYSE,,10.25,0.11
2113,NTB,Bank of N.T. Butterfield & Son Limited (The) Voting,26.55,-1.81213018,-0.49,59608,1582592.4,1325146393.5576923,0.33226192,0.15065913,-0.22514071,NYSE,-1.04,26.63,-0.08
2114,AZUL,Azul S.A.,6.45,1.41509434,0.09,395165,2548814.25,734034174.7878,0.33177779,0.1552795,0.93896714,NYSE,0.11,6.46,-0.01
2115,PFS,"Provident Financial Services, Inc",18.97,0.1055409,0.02,59335,1125584.95,1428919157.1192613,0.33142148,-0.15789474,-0.78451883,NYSE,-0.21,18.57,0.4
2116,CHCO,City Holding Company,91.17,1.46911519,1.32,6605,602177.85,1343804630.935893,0.33129453,0.14279438,0.14279438,NASDAQ,,89.28,1.89
2117,ASGN,ASGN Incorporated,78.35,-0.22921177,-0.18,14533,1138660.55,3862654880.2750535,0.33062499,-0.20379569,0.01914853,NYSE,,77.92,0.43
2118,RAPT,"RAPT Therapeutics, Inc.",17.3,-4.10199557,-0.74,49568,857526.4,593167352.6441243,0.32999044,0.0,-1.19931468,NASDAQ,,17.82,-0.52
2119,TRIN,Trinity Capital Inc.,13.4,1.05580694,0.14,57775,774185.0,467949453.13725495,0.3299773,0.2994012,-0.1490313,NASDAQ,,13.14,0.26
2120,FBP,First BanCorp. New,10.92,0.0,0.0,151843,1658125.56,1971998450.9999995,0.32879909,0.09165903,-0.45578851,NYSE,,10.74,0.18
2121,URBN,"Urban Outfitters, Inc.",25.91,0.30971738,0.08,107133,2775816.03,2388273694.035618,0.3279254,0.0,-0.15414258,NASDAQ,,25.6,0.31
2122,NVCR,NovoCure Limited,56.63,-0.32561823,-0.185,56114,3177735.82,5971926114.082549,0.32782874,0.06184292,-0.3519268,NASDAQ,-0.355,56.35,0.28
2123,LOPE,"Grand Canyon Education, Inc.",108.19,0.07399871,0.08,9781,1058206.39,3358153334.4795117,0.32773416,0.0,-0.04628599,NASDAQ,,107.68,0.51
2124,VMI,"Valmont Industries, Inc.",304.25,-0.15096321,-0.46,6533,1987665.25,6495739174.468348,0.32731035,-0.06076831,-0.06076831,NYSE,,302.01,2.24
2125,SRPT,"Sarepta Therapeutics, Inc.",128.595,0.16747157,0.215,183779,23633060.505,11314030312.959652,0.32565722,0.03500583,-0.0194371,NASDAQ,,128.97,-0.375
2126,NEX,NexTier Oilfield Solutions Inc.,7.235,-1.83175034,-0.135,355566,2572520.01,1690676597.4606514,0.32544502,-0.13802622,-0.75445816,NYSE,-0.18,7.14,0.095
2127,SSD,"Simpson Manufacturing Company, Inc.",102.85,-1.18178324,-1.23,9212,947454.2,4387886302.833397,0.32533032,-0.07286859,-0.10683761,NYSE,,102.81,0.04
2128,SPSC,"SPS Commerce, Inc.",144.49,0.04846974,0.07,7422,1072404.78,5246755026.542723,0.32353475,-0.50268558,-0.50268558,NASDAQ,,143.1,1.39
2129,HAE,Haemonetics Corporation,76.4251,0.45360147,0.3451,17328,1324294.1328,3855457237.303885,0.32239139,0.01976181,0.00667365,NYSE,,75.35,1.0751
2130,FBNC,First Bancorp,35.815,1.77607275,0.625,18029,645708.635,1464053514.6402383,0.32138508,-0.04186436,-0.2367688,NASDAQ,-0.63,34.82,0.995
2131,IRTC,"iRhythm Technologies, Inc.",119.83,0.50322905,0.6,25598,3067408.34,3620816932.501216,0.32098259,-0.18325698,-0.47342193,NASDAQ,,118.64,1.19
2132,TRMK,Trustmark Corporation,24.69,2.02479339,0.49,30270,747366.3,1505584369.204959,0.31805166,0.0,0.08107013,NASDAQ,,23.9,0.79
2133,NSA,National Storage Affiliates Trust,39.37,1.70498579,0.66,49364,1943460.68,4938278797.0,0.31785125,0.13989571,-0.20278834,NYSE,,38.63,0.74
2134,PRVB,"Provention Bio, Inc.",23.815,-0.06294587,-0.015,616316,14677565.54,2076445709.0111208,0.31778042,0.0,-0.12581254,NASDAQ,0.07,23.9,-0.085
2135,EH,EHang Holdings Limited,9.6,-2.04081633,-0.2,89293,857212.8,561984426.0,0.31774607,-0.10405827,-1.03092784,NASDAQ,-0.12,9.7,-0.1
2136,AMPH,"Amphastar Pharmaceuticals, Inc.",36.8151,-0.25711189,-0.0949,16479,606676.0329,1763326212.79537,0.31706286,0.04103261,-0.23089243,NASDAQ,,36.71,0.1051
2137,SPR,"Spirit Aerosystems Holdings, Inc.",29.959,-1.51545036,-0.461,118069,3537229.171,3153193443.2311964,0.31577493,0.06346025,-0.46843854,NYSE,-0.2,29.99,-0.031
2138,GLOB,Globant S.A.,153.18,-1.48562609,-2.31,23819,3648594.42,6399254483.402662,0.31520933,-0.13690593,-0.28642104,NYSE,,154.79,-1.61
2139,GOTU,Gaotu Techedu Inc.,3.99,-4.08653846,-0.17,533252,2127675.48,1077515861.0,0.31455415,-0.20010005,-0.49875312,NYSE,-0.15,4.04,-0.05
2140,DNUT,"Krispy Kreme, Inc.",15.565,0.28994845,0.045,77697,1209353.805,2616476672.498711,0.31285529,0.09581932,-0.32020493,NASDAQ,-0.19,15.52,0.045
2141,TNDM,"Tandem Diabetes Care, Inc.",41.695,-0.08387251,-0.035,60136,2507370.52,2690497469.893123,0.3120565,-0.14374701,-0.3109304,NASDAQ,,41.73,-0.035
2142,CDAY,Ceridian HCM Holding Inc.,68.18,-1.33140376,-0.92,49263,3358751.34,10506985532.13864,0.31136823,-0.1025641,-0.36533684,NYSE,,68.81,-0.63
2143,CSWC,Capital Southwest Corporation,16.96,-0.64440539,-0.11,40211,681978.56,586121244.0820152,0.31004846,-0.03537736,-0.16076508,NASDAQ,-0.07,16.92,0.04
2144,BEAM,Beam Therapeutics Inc.,29.911,-1.41397495,-0.429,92653,2771343.883,2165485713.8200397,0.30955567,-0.18021025,-1.05524314,NASDAQ,-0.06,30.12,-0.209
2145,FGEN,"FibroGen, Inc",18.27,-2.14247456,-0.4,42031,767906.37,1720721858.9582214,0.30950495,-0.35451323,-1.02925244,NASDAQ,,18.43,-0.16
2146,KALA,"Kala Pharmaceuticals, Inc.",14.6355,0.03759398,0.0055,38620,565223.01,29644133.22293234,0.30860702,-0.05599678,-1.21494381,NASDAQ,-0.02,14.29,0.3455
2147,MMSI,"Merit Medical Systems, Inc.",70.915,-0.0070502,-0.005,15387,1091169.105,4064708085.8508177,0.306667,0.1341429,-0.4002809,NASDAQ,,70.61,0.305
2148,FN,Fabrinet,110.48,-0.03619254,-0.04,12773,1411161.04,4044519759.4093375,0.30656879,-0.23478418,-0.23478418,NYSE,,109.97,0.51
2149,TRN,"Trinity Industries, Inc.",22.62,-1.09313511,-0.25,47282,1069518.84,1835060165.0240493,0.30642188,0.04422822,-0.62079055,NYSE,,22.49,0.13
2150,SWTX,"SpringWorks Therapeutics, Inc.",25.16,-3.30514988,-0.86,46816,1177890.56,1572469506.3120675,0.3043102,0.0,-0.39588282,NASDAQ,,25.96,-0.8
2151,RHI,Robert Half International Inc.,74.18,0.16203079,0.12,54508,4043403.44,7989074584.765057,0.30310486,0.05395198,-0.26888949,NYSE,-0.08,73.55,0.63
2152,EFSC,Enterprise Financial Services Corporation,45.07,1.03115893,0.46,14339,646258.73,1680153003.3550773,0.30298104,0.24466192,0.67009158,NASDAQ,,44.21,0.86
2153,CAN,Canaan Inc.,2.745,-1.61290323,-0.045,268122,735994.89,473466908.0,0.30258721,-0.18181818,-0.72332731,NASDAQ,-0.04,2.75,-0.005
2154,FFIN,"First Financial Bankshares, Inc.",31.5232,1.78624475,0.5532,97270,3066261.664,4498392671.113362,0.30190512,-0.05326569,-0.32189723,NASDAQ,,30.69,0.8332
2155,NXT,Nextracker Inc.,31.96,-0.77615647,-0.25,89061,2846389.56,4604598856.783919,0.30153472,0.15669069,-0.40511063,NASDAQ,0.04,32.21,-0.25
2156,COO,"The Cooper Companies, Inc.",347.15,0.63485622,2.19,21031,7300911.65,17168533883.957125,0.3013953,-0.24138625,-0.24138625,NYSE,,345.04,2.11
2157,SWAV,"ShockWave Medical, Inc.",211.61,0.36520584,0.77,27667,5854613.87,7722788927.296482,0.30108339,0.01323364,-0.21690951,NASDAQ,,209.41,2.2
2158,PTLO,Portillo's Inc.,20.955,-0.35663338,-0.075,70471,1476719.805,1516690437.1875892,0.29981038,0.09546539,-0.33269962,NASDAQ,-0.5093,20.93,0.025
2159,AY,Atlantica Sustainable Infrastructure plc,27.095,0.65007429,0.175,35888,972385.36,3144513549.471954,0.29898391,-0.01845018,-0.33106493,NASDAQ,,26.72,0.375
2160,BECN,"Beacon Roofing Supply, Inc.",55.73,-1.25797307,-0.71,39180,2183501.4,3580800378.034373,0.29897679,0.00897263,-0.35758984,NASDAQ,,55.8,-0.07
2161,HCP,"HashiCorp, Inc.",29.28,-1.14787306,-0.34,103919,3042748.32,5361017865.366643,0.29819432,-0.10235415,-0.57724958,NASDAQ,-0.08,29.57,-0.29
2162,SMPL,The Simply Good Foods Company,37.35,0.83693305,0.31,27441,1024921.35,3716002234.086123,0.29745619,0.02678093,-0.08025682,NASDAQ,,37.03,0.32
2163,SNV,Synovus Financial Corp.,28.5684,-0.04058782,-0.0116,284982,8141479.7688,4172276273.255941,0.29738226,-0.05247507,-0.34879665,NYSE,-0.57,28.03,0.5384
2164,ASC,Ardmore Shipping Corporation,14.74,-1.20643432,-0.18,96440,1421525.6,598835838.0040215,0.29559011,-0.06779661,-0.20311442,NYSE,-0.17,14.62,0.12
2165,ODP,The ODP Corporation,44.75,-0.02234138,-0.01,18749,839017.75,1798869562.9747543,0.2947698,-0.15659955,-0.16776647,NASDAQ,,44.24,0.51
2166,TTT,ProShares UltraPro Short 20 Year Treasury,60.89,-0.18032787,-0.11,15420,938923.8,,0.29382594,0.35120449,0.89478045,NYSE ARCA,-1.66,59.55,1.34
2167,FOXF,Fox Factory Holding Corp.,116.35,-0.21440823,-0.25,12657,1472641.95,4918095848.077187,0.29320376,0.28443372,0.8784707,NASDAQ,,115.09,1.26
2168,MASI,Masimo Corporation,173.605,-0.46726293,-0.815,17784,3087391.32,9131959725.221476,0.29216459,-0.02015665,-0.12943681,NASDAQ,,173.72,-0.115
2169,HAS,"Hasbro, Inc.",48.77,0.26726974,0.13,123211,6009000.47,6740982677.079566,0.29176682,-0.03074716,-0.34736412,NASDAQ,,48.4,0.37
2170,IPAR,"Inter Parfums, Inc.",140.205,0.85239534,1.185,11110,1557677.55,4501892920.459214,0.29106452,-0.11754648,-0.11754648,NASDAQ,,137.94,2.265
2171,SFNC,Simmons First National Corporation,17.5201,1.68369124,0.2901,70790,1240247.879,2227749253.875241,0.29077233,-0.05704507,-0.51107325,NASDAQ,,17.0,0.5201
2172,IBTX,"Independent Bank Group, Inc",43.94,-0.24971623,-0.11,26042,1144285.48,1808986054.444949,0.29058067,0.27384756,-0.19307212,NASDAQ,,43.39,0.55
2173,PAYO,Payoneer Global Inc.,6.115,-0.89141005,-0.055,209430,1280664.45,2166925146.3614264,0.28899602,-0.08176615,-0.40749796,NASDAQ,-0.06,6.12,-0.005
2174,HTGC,"Hercules Capital, Inc.",12.05,-1.06732348,-0.13,253372,3053132.6,1644588402.504105,0.28583845,-0.04147657,-0.33085194,NYSE,-0.28,12.04,0.01
2175,STNE,StoneCo Ltd.,8.865,0.39637599,0.035,625458,5544685.17,2659093275.205549,0.28512112,0.0,-0.28121485,NASDAQ,-0.13,8.75,0.115
2176,DLO,DLocal Limited,15.29,-0.19582245,-0.03,76429,1168599.41,4528359980.629895,0.28455112,-0.19582245,-0.19582245,NASDAQ,,15.19,0.1
2177,STR,Sitio Royalties Corp.,20.74,-1.79924242,-0.38,63392,1314750.08,3204724574.571969,0.28419962,-0.09633911,-0.3124249,NYSE,,20.87,-0.13
2178,ALNY,"Alnylam Pharmaceuticals, Inc.",187.94,-1.33865295,-2.55,42781,8040261.14,23329177325.19177,0.28225951,0.01596509,-0.14080391,NASDAQ,,190.25,-2.31
2179,RLI,RLI Corp.,128.14,-0.36544592,-0.47,10403,1333040.42,5832188420.283025,0.28217706,0.14849551,-0.33444816,NYSE,,127.48,0.66
2180,CINF,Cincinnati Financial Corporation,104.895,-1.02377807,-1.085,46098,4835449.71,16493750120.068691,0.28049756,-0.09048481,-0.18555524,NASDAQ,,104.37,0.525
2181,NRDS,"NerdWallet, Inc.",17.66,-0.56306306,-0.1,39962,705728.92,1339366120.3828828,0.27969547,-0.36671368,-0.45095829,NASDAQ,,17.61,0.05
2182,MOD,Modine Manufacturing Company,21.46,-3.68043088,-0.82,30249,649143.54,1118499223.268402,0.27939065,-0.14006449,-0.14006449,NYSE,,22.0,-0.54
2183,PCOR,"Procore Technologies, Inc.",59.61,-1.22618061,-0.74,71595,4267777.95,8360473288.823364,0.27803413,0.06714789,-0.26769282,NYSE,,60.2,-0.59
2184,YMM,Full Truck Alliance Co. Ltd.,7.04,-0.98452883,-0.07,553143,3894126.72,7880729260.0,0.27652522,-0.21261517,-0.42432815,NYSE,-0.21,7.02,0.02
2185,RDN,Radian Group Inc.,20.72,0.77821012,0.16,162182,3360411.04,3257037153.046693,0.27516366,-0.07234145,-0.28873917,NYSE,,20.28,0.44
2186,HTLF,"Heartland Financial USA, Inc.",37.9669,0.41496958,0.1569,14874,564719.6706,1612381497.3752844,0.27387169,-0.2970063,-0.13966334,NASDAQ,,37.33,0.6369
2187,ESPR,"Esperion Therapeutics, Inc.",1.6216,3.94871795,0.0616,1016316,1648058.0256,143962114.7830769,0.2729216,-0.21538462,0.85209603,NASDAQ,-0.0215,1.54,0.0816
2188,ZI,ZoomInfo Technologies Inc.,22.905,-1.86375321,-0.435,351092,8041762.26,9260293462.035349,0.27285479,-0.08729812,-0.43497173,NASDAQ,-0.16,23.22,-0.315
2189,CIFR,Cipher Mining Inc.,2.17,-7.26495726,-0.17,279563,606651.71,539519739.6196581,0.27259395,-1.81371881,-1.36986301,NASDAQ,-0.0899,2.27,-0.1
2190,TGNA,TEGNA Inc,15.65,-0.06385696,-0.01,107853,1687899.45,3498596676.9667945,0.27117584,-0.03193868,0.06393862,NYSE,,15.61,0.04
2191,TOWN,Towne Bank,26.71,1.05940219,0.28,22101,590317.71,1942465372.8702235,0.27026167,-0.54734334,-0.54734334,NASDAQ,,26.01,0.7
2192,ARQT,"Arcutis Biotherapeutics, Inc.",10.35,-4.16666667,-0.45,95060,983871.0,632207720.7916666,0.26920788,0.0967118,-0.67178503,NASDAQ,-0.05,10.69,-0.34
2193,SBR,Sabine Royalty Trust,66.63,-1.60956881,-1.09,9022,601135.86,987313244.0,0.26673355,-0.074985,-0.074985,NYSE,-1.52,66.47,0.16
2194,KRTX,"Karuna Therapeutics, Inc.",175.97,-0.14186812,-0.25,62738,11040005.86,6511274684.480024,0.26496602,0.05401564,0.0312651,NASDAQ,,176.03,-0.06
2195,EDU,"New Oriental Education & Technology Group, Inc. Sponsored",37.86,-2.42268041,-0.94,200240,7581086.4,6579547713.14112,0.26392441,-0.18455049,-0.64296024,NYSE,-0.3882,38.7,-0.84
2196,SMX,SMX (Security Matters) Public Limited Company,1.2302,-4.63565891,-0.0598,569838,701014.7076,27681106.88914729,0.2631753,-0.79032258,0.0,NASDAQ,-0.09,1.15,0.0802
2197,HLNE,Hamilton Lane Incorporated,70.12,-1.47534073,-1.05,14179,994231.48,3774024662.333005,0.26272785,-0.29859235,-0.29859235,NASDAQ,,70.43,-0.31
2198,SR,Spire Inc.,67.375,0.83058964,0.555,10781,726369.875,3540296597.115385,0.26248093,0.02553528,0.08169935,NYSE,,66.82,0.555
2199,BANR,Banner Corporation,53.5,1.00056636,0.53,17441,933093.5,1829384769.1523504,0.26186912,0.20603109,-0.26099925,NASDAQ,,52.52,0.98
2200,LPSN,"LivePerson, Inc.",3.6699,-4.4296875,-0.1701,365491,1341315.4209,278438564.3020313,0.26076656,-0.13877551,-0.27445652,NASDAQ,0.01,3.77,-0.1001
2201,RPD,"Rapid7, Inc.",39.86,-1.55593974,-0.63,54409,2168742.74,2393221449.474438,0.26048886,-0.30015008,-0.5489022,NASDAQ,,40.0,-0.14
2202,GTY,Getty Realty Corporation,34.38,1.50575731,0.51,17450,599931.0,1583010419.0,0.25906253,0.0,-0.15972121,NYSE,,33.92,0.46
2203,FHB,"First Hawaiian, Inc.",20.655,0.55988315,0.115,78133,1613837.115,2637343669.646787,0.25879945,-0.16916385,-0.64935065,NASDAQ,,20.21,0.445
2204,ACLX,"Arcellx, Inc.",28.09,-0.70696359,-0.2,29228,821014.52,1231855902.0604453,0.25739965,0.44698731,0.07125045,NASDAQ,,27.99,0.1
2205,WST,"West Pharmaceutical Services, Inc.",333.12,0.38270303,1.27,34207,11395035.84,24696035354.07636,0.25525822,0.11119459,-0.00600348,NYSE,,330.84,2.28
2206,AZPN,"Aspen Technology, Inc.",201.7203,-1.47489499,-3.0197,10202,2057950.5006,13065680518.456083,0.25365696,-0.25697191,-0.25697191,NASDAQ,,204.38,-2.6597
2207,YY,JOYY Inc.,30.3,0.56422171,0.17,42808,1297082.4,2098082279.0000005,0.25350023,0.14873575,-0.09891197,NASDAQ,0.35,30.1,0.2
2208,ASO,"Academy Sports and Outdoors, Inc.",63.47,-0.78161638,-0.5,131845,8368202.15,4884306941.974363,0.25284072,0.03152088,-0.34542314,NASDAQ,,63.45,0.02
2209,LU,Lufax Holding Ltd,1.97,0.0,0.0,1116236,2198984.92,4515216303.0,0.24987335,-0.25380711,-0.25380711,NYSE,-0.03,1.94,0.03
2210,BAND,Bandwidth Inc.,14.77,-0.27008778,-0.04,42182,623028.14,375783526.95273465,0.24940898,0.169549,-0.2027027,NASDAQ,,14.75,0.02
2211,AGCO,AGCO Corporation,123.435,-1.73937271,-2.185,49164,6068558.34,9238603110.34485,0.24848978,-0.06881477,-0.35117462,NYSE,,123.7,-0.265
