,Ticker,Description,Price,Change %,Change,Volume,Volume*Price,Market Capitalization,Relative Volume at Time,"Change 1m, %","Change 5m, %",Exchange,Pre-market Change,Open,Change from Open
2059,VRDN,"Viridian Therapeutics, Inc.",25.205,-1.15686275,-0.295,34260,863523.3,1081242809.9813726,0.37024623,-0.05947661,-0.257222,NASDAQ,,25.42,-0.215
2060,VICR,Vicor Corporation,43.3,-1.16411778,-0.51,13672,591997.6,1910252168.094042,0.37015494,-0.25339783,-0.64249656,NASDAQ,,43.27,0.03
2061,TBBK,"The Bancorp, Inc.",27.63,0.03620565,0.01,59981,1657275.03,1535837602.7052858,0.3698098,-0.43243243,0.07243752,NASDAQ,,27.04,0.59
2062,CRWD,"CrowdStrike Holdings, Inc.",132.87,-1.24126654,-1.67,505049,67105860.63,30732802801.418835,0.36887976,-0.16541353,-0.35272045,NASDAQ,-0.84,134.4,-1.53
2063,CBSH,"Commerce Bancshares, Inc.",56.9535,0.6245583,0.3535,54482,3102940.587,7107908019.318047,0.36857303,-0.13161358,-0.38508664,NASDAQ,-0.7,56.09,0.8635
2064,PRAA,"PRA Group, Inc.",39.515,-0.51611279,-0.205,15185,600035.275,1540299251.38784,0.36787497,-0.21464646,-0.21464646,NASDAQ,,39.49,0.025
2065,SAGE,"Sage Therapeutics, Inc.",41.68,-1.8138987,-0.77,40612,1692708.16,2489030004.9281507,0.36634744,-0.07791429,-0.61993324,NASDAQ,,41.97,-0.29
2066,HWC,Hancock Whitney Corporation,35.245,0.0709824,0.025,91249,3216071.005,3030491973.9943213,0.36598065,-0.0141844,-0.60631698,NASDAQ,,34.63,0.615
2067,GL,Globe Life Inc.,105.23,-1.06242948,-1.13,43509,4578452.07,10154445374.573334,0.36478858,0.03802643,0.0095039,NYSE,,104.99,0.24
2068,TMDX,"TransMedics Group, Inc.",73.604,-0.27909497,-0.206,30796,2266708.784,2369770527.817314,0.36375143,-0.20341741,-0.98223897,NASDAQ,,73.25,0.354
2069,SWBI,"Smith & Wesson Brands, Inc.",11.2289,0.52730528,0.0589,58454,656374.1206,515385284.66476274,0.36321479,0.03474388,-0.18755556,NASDAQ,-0.1299,11.12,0.1089
2070,SNDX,"Syndax Pharmaceuticals, Inc.",21.19,-1.716141,-0.37,52875,1120421.25,1450298097.416976,0.36263729,0.09442871,-0.07070469,NASDAQ,,21.42,-0.23
2071,NBR,Nabors Industries Ltd.,108.74,-1.36961451,-1.51,27252,2963382.48,1023865909.62322,0.36144214,-0.16525891,-0.16525891,NYSE,-2.15,107.33,1.41
2072,ROCC,Ranger Oil Corporation,36.75,-1.65908483,-0.62,53452,1964361.0,1525416275.9566498,0.36132468,-0.27137042,-0.24429967,NASDAQ,,36.3,0.45
2073,PAYC,"Paycom Software, Inc.",271.625,-0.25521445,-0.695,40427,10980983.875,16384713592.791569,0.3609852,-0.02392433,-0.03816306,NYSE,,272.73,-1.105
2074,BMRN,BioMarin Pharmaceutical Inc.,89.52,-0.6547553,-0.59,90735,8122597.2,16698056326.191542,0.36022955,0.0391127,-0.12272677,NASDAQ,0.0,90.01,-0.49
2075,ILMN,"Illumina, Inc.",218.205,0.5784743,1.255,132994,29019955.77000001,34476389515.21176,0.35793402,-0.15781433,-0.24258513,NASDAQ,,216.89,1.315
2076,BRMK,Broadmark Realty Capital Inc.,4.335,0.34722222,0.015,232680,1008667.8,569159825.0,0.35779538,-0.2301496,-0.2301496,NYSE,-0.05,4.28,0.055
2077,AKR,Acadia Realty Trust,12.99,1.24707716,0.16,51470,668595.3,1235081501.0,0.3577935,-0.15396459,-0.26912726,NYSE,,12.71,0.28
2078,EMN,Eastman Chemical Company,78.185,-0.6922393,-0.545,83983,6566210.855,9288133471.521591,0.35697332,0.0511869,-0.17874242,NYSE,-0.73,77.65,0.535
2079,GVA,Granite Construction Incorporated,39.45,-0.37878788,-0.15,23116,911926.2,1725721781.223485,0.35678432,-0.17712551,-0.17712551,NYSE,,39.08,0.37
2080,FTDR,"Frontdoor, Inc.",26.51,1.2605042,0.33,58054,1539011.54,2160824114.4915967,0.35497075,-0.07538636,-0.13185157,NASDAQ,,26.06,0.45
2081,SAFT,"Safety Insurance Group, Inc.",71.73,0.39188244,0.28,8803,631439.19,1061635025.1073478,0.35425604,-0.06965729,-0.06965729,NASDAQ,,71.19,0.54
2082,ACGL,Arch Capital Group Ltd.,65.01,-0.89939024,-0.59,171564,11153375.64,24131484078.50763,0.3536992,0.10779181,-0.18424689,NASDAQ,-0.99,64.9,0.11
2083,OXLC,Oxford Lane Capital Corp.,5.0617,0.43055556,0.0217,134922,682934.6874,869550000.0,0.35295006,-0.16370809,-0.26206897,NASDAQ,0.01,5.04,0.0217
2084,FLNC,"Fluence Energy, Inc.",15.69,-2.36465464,-0.38,116073,1821185.37,2742202638.429372,0.35241734,-0.38095238,-0.72761784,NASDAQ,0.24,16.01,-0.32
